,pH,mM-acid,batch,strain,acid,genus
63,6,10,1,PA01,lactic,pseudomonas
64,6,10,1,PA01,lactic,pseudomonas
65,6,10,1,PA01,lactic,pseudomonas
66,6,20,0,PA01,lactic,pseudomonas
67,6,20,0,PA01,lactic,pseudomonas
68,6,20,0,PA01,lactic,pseudomonas
69,6,20,1,PA01,lactic,pseudomonas
70,6,20,1,PA01,lactic,pseudomonas
71,6,20,1,PA01,lactic,pseudomonas
72,5.5,0,0,PA01,lactic,pseudomonas
73,5.5,0,0,PA01,lactic,pseudomonas
74,5.5,0,0,PA01,lactic,pseudomonas
75,5.5,0,1,PA01,lactic,pseudomonas
76,5.5,0,1,PA01,lactic,pseudomonas
78,5.5,5,0,PA01,lactic,pseudomonas
79,5.5,5,0,PA01,lactic,pseudomonas
80,5.5,5,0,PA01,lactic,pseudomonas
81,5.5,5,1,PA01,lactic,pseudomonas
84,5.5,10,0,PA01,lactic,pseudomonas
85,5.5,10,0,PA01,lactic,pseudomonas
86,5.5,10,0,PA01,lactic,pseudomonas
87,5.5,10,1,PA01,lactic,pseudomonas
88,5.5,10,1,PA01,lactic,pseudomonas
89,5.5,10,1,PA01,lactic,pseudomonas
90,5.5,20,0,PA01,lactic,pseudomonas
91,5.5,20,0,PA01,lactic,pseudomonas
92,5.5,20,0,PA01,lactic,pseudomonas
93,5.5,20,1,PA01,lactic,pseudomonas
94,5.5,20,1,PA01,lactic,pseudomonas
95,5.5,20,1,PA01,lactic,pseudomonas
96,5,0,0,PA01,lactic,pseudomonas
97,5,0,0,PA01,lactic,pseudomonas
98,5,0,0,PA01,lactic,pseudomonas
99,5,0,1,PA01,lactic,pseudomonas
100,5,0,1,PA01,lactic,pseudomonas
101,5,0,1,PA01,lactic,pseudomonas
102,5,5,0,PA01,lactic,pseudomonas
103,5,5,0,PA01,lactic,pseudomonas
104,5,5,0,PA01,lactic,pseudomonas
105,5,5,1,PA01,lactic,pseudomonas
106,5,5,1,PA01,lactic,pseudomonas
107,5,5,1,PA01,lactic,pseudomonas
108,5,10,0,PA01,lactic,pseudomonas
109,5,10,0,PA01,lactic,pseudomonas
110,5,10,0,PA01,lactic,pseudomonas
111,5,10,1,PA01,lactic,pseudomonas
112,5,10,1,PA01,lactic,pseudomonas
113,5,10,1,PA01,lactic,pseudomonas
114,5,20,0,PA01,lactic,pseudomonas
115,5,20,0,PA01,lactic,pseudomonas
116,5,20,0,PA01,lactic,pseudomonas
117,5,20,1,PA01,lactic,pseudomonas
118,5,20,1,PA01,lactic,pseudomonas
119,5,20,1,PA01,lactic,pseudomonas
